"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"2","0.012133","63.251.239.51","192.168.15.130","UDP","75","22426  >  63821 Len=33"
"3","0.164571","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"4","0.286649","192.168.15.130","179.184.214.195","TLSv1.2","1238","Application Data"
"5","0.327524","192.168.15.130","179.184.214.195","TLSv1.2","283","Application Data"
"6","0.335966","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"7","0.341775","179.184.214.195","192.168.15.130","TCP","60","443  >  50185 [ACK] Seq=1 Ack=1185 Win=501 Len=0"
"8","0.382289","192.168.15.130","179.184.214.195","TLSv1.2","290","Application Data"
"9","0.382978","179.184.214.195","192.168.15.130","TCP","60","443  >  50185 [ACK] Seq=1 Ack=1414 Win=501 Len=0"
"10","0.388944","192.168.15.1","224.0.0.1","IGMPv2","60","Membership Query, general"
"11","0.390514","fe80::96ea:eaff:fe96:4dc0","ff02::1","ICMPv6","90","Multicast Listener Query"
"12","0.390601","fe80::ddc8:2cc6:e88:26dd","ff02::16","ICMPv6","190","Multicast Listener Report Message v2"
"13","0.396796","fe80::a2d0:dcff:fe1c:21cc","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"14","0.422560","fe80::4f0:91ff:fe70:9e9d","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"15","0.430436","fe80::5858:c7ff:fe17:35ac","ff02::16","ICMPv6","170","Multicast Listener Report Message v2"
"16","0.437759","179.184.214.195","192.168.15.130","TCP","60","443  >  50185 [ACK] Seq=1 Ack=1650 Win=501 Len=0"
"17","0.442486","fe80::1435:90ff:fe2a:ac7c","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"18","0.472570","179.184.214.195","192.168.15.130","TCP","1506","443  >  50185 [ACK] Seq=1 Ack=1650 Win=501 Len=1452 [TCP segment of a reassembled PDU]"
"19","0.472601","192.168.15.130","179.184.214.195","TCP","54","50185  >  443 [ACK] Seq=1650 Ack=1453 Win=1024 Len=0"
"20","0.472642","179.184.214.195","192.168.15.130","TLSv1.2","585","Application Data"
"21","0.472642","179.184.214.195","192.168.15.130","TLSv1.2","546","Application Data"
"22","0.472642","179.184.214.195","192.168.15.130","TLSv1.2","92","Application Data"
"23","0.472655","192.168.15.130","179.184.214.195","TCP","54","50185  >  443 [ACK] Seq=1650 Ack=2514 Win=1019 Len=0"
"24","0.498148","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"25","0.514701","179.184.214.195","192.168.15.130","TCP","1506","443  >  50185 [ACK] Seq=2514 Ack=1650 Win=501 Len=1452 [TCP segment of a reassembled PDU]"
"26","0.514734","192.168.15.130","179.184.214.195","TCP","54","50185  >  443 [ACK] Seq=1650 Ack=3966 Win=1024 Len=0"
"27","0.514774","179.184.214.195","192.168.15.130","TLSv1.2","585","Application Data"
"28","0.514774","179.184.214.195","192.168.15.130","TLSv1.2","315","Application Data"
